Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure
HEMM-D004,Dumper,2021-02-21,2,2,1,9,89.0,4.44,2.26,45.6,81.1,0.76,24.4,182.8,340.2,1742.0,4212,33,20.05,1.2974,96.6,0,2021,2,6,None,None,Low,50,0
HEMM-SC01,Scraper,2021-06-28,5,2,1,14,80.8,5.08,2.62,25.8,84.4,0.76,24.6,172.3,322.8,1797.0,720,8,15.91,1.458,98.1,0,2021,6,0,None,None,Low,160,0
HEMM-L002,Wheel Loader,2021-02-24,6,2,2,7,88.3,4.83,1.88,37.9,82.4,0.85,24.8,187.8,298.0,1913.0,11931,88,18.28,0.9827,98.4,0,2021,2,2,None,None,Medium,64,0
HEMM-E003,Excavator,2023-07-09,3,2,1,9,88.0,4.41,2.16,31.7,86.4,0.88,23.8,182.0,334.8,1817.0,306,102,19.95,1.1888,97.6,0,2023,7,6,None,None,Low,69,0
HEMM-B003,Dozer,2022-07-24,0,1,1,7,88.8,4.76,2.94,43.4,82.4,0.82,24.7,171.6,309.7,1796.0,5714,18,18.66,1.637,95.3,0,2022,7,6,None,None,Low,158,0
HEMM-G001,Grader,2022-12-06,4,2,0,9,200.0,4.73,2.36,42.5,85.0,0.77,24.1,176.9,326.6,1898.0,911,98,42.28,1.2434,41.4,1,2022,12,1,None,None,Low,62,0
HEMM-G002,Grader,2021-06-11,4,2,0,10,83.6,4.34,2.47,33.5,85.3,0.87,24.6,183.6,307.1,1836.0,10499,84,19.26,1.3453,97.8,0,2021,6,4,None,None,Medium,171,0
HEMM-D003,Dumper,2021-04-04,2,2,1,8,97.3,5.85,1.63,36.0,81.8,0.78,24.5,177.0,321.8,1601.0,4941,15,16.63,1.0181,93.8,0,2021,4,6,None,None,Low,172,0
HEMM-G002,Grader,2022-07-24,4,0,0,12,78.7,4.8,1.92,35.9,84.0,0.97,25.1,174.7,330.3,1810.0,2864,52,16.4,1.0608,100.0,0,2022,7,6,None,None,Low,121,0
HEMM-B001,Dozer,2021-05-27,0,2,1,6,92.7,4.79,1.9,42.2,76.8,0.75,20.2,169.8,322.5,1675.0,8951,98,19.35,1.1343,94.1,0,2021,5,3,Electrical Fault,Electrical,Critical,6,1
