Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure,Engine_Temp_C_Lower_Limit,Engine_Temp_C_Upper_Limit,Engine_Temp_C_Status,Oil_Pressure_bar_Lower_Limit,Oil_Pressure_bar_Upper_Limit,Oil_Pressure_bar_Status,Vibration_mms_Lower_Limit,Vibration_mms_Upper_Limit,Vibration_mms_Status,Fuel_Consumption_Lhr_Lower_Limit,Fuel_Consumption_Lhr_Upper_Limit,Fuel_Consumption_Lhr_Status,Tyre_Pressure_PSI_Lower_Limit,Tyre_Pressure_PSI_Upper_Limit,Tyre_Pressure_PSI_Status,Coolant_Level_Lower_Limit,Coolant_Level_Upper_Limit,Coolant_Level_Status,Battery_Voltage_V_Lower_Limit,Battery_Voltage_V_Upper_Limit,Battery_Voltage_V_Status,Hydraulic_Pressure_bar_Lower_Limit,Hydraulic_Pressure_bar_Upper_Limit,Hydraulic_Pressure_bar_Status,Exhaust_Temp_C_Lower_Limit,Exhaust_Temp_C_Upper_Limit,Exhaust_Temp_C_Status,RPM_Lower_Limit,RPM_Upper_Limit,RPM_Status,Maintenance_Type,PM_Interval_Hours,Next_PM_Due_Hours,PM_Status,Maintenance_Cost_INR,Estimated_Downtime_Hrs,Last_Maintenance_Type,Days_Since_Last_Maintenance,Maintenance_Team,Engine_Condition,Tyre_Condition,Hydraulic_Condition,Brake_Condition,Electrical_Condition,Fuel_System_Condition,Transmission_Condition,Cooling_System_Condition,Engine_Replacement_Needed,Tyre_Replacement_Needed,Hydraulic_Replacement_Needed,Brake_Replacement_Needed,Electrical_Replacement_Needed,Engine_Life_Remaining_pct,Tyre_Life_Remaining_pct,Hydraulic_Life_Remaining_pct,Battery_Life_Remaining_pct,Brake_Life_Remaining_pct,Spare_Parts_Required,Prescriptive_Action
HEMM-D004,Dumper,2021-02-21,2,2,1,9,89.0,4.44,2.26,45.6,81.1,0.76,24.4,182.8,340.2,1742.0,4212,33,20.05,1.2974,96.6,0,2021,2,6,None,None,Low,50,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,38,PM Due Soon,7238,0.4,Preventive Maintenance,168,Team A - Mechanical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,64.9,72.2,57.9,90.4,54.8,No Parts Required,Plan PM in next 38 hours.
HEMM-SC01,Scraper,2021-06-28,5,2,1,14,80.8,5.08,2.62,25.8,84.4,0.76,24.6,172.3,322.8,1797.0,720,8,15.91,1.458,98.1,0,2021,6,0,None,None,Low,160,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,180,PM Not Due,2912,0.9,Condition Based Monitoring,5,Team A - Mechanical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,94.0,98.8,92.8,91.1,47.6,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-L002,Wheel Loader,2021-02-24,6,2,2,7,88.3,4.83,1.88,37.9,82.4,0.85,24.8,187.8,298.0,1913.0,11931,88,18.28,0.9827,98.4,0,2021,2,2,None,None,Medium,64,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Preventive Maintenance,250,69,PM Not Due,10819,2.2,Condition Based Monitoring,121,Team D - General,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,5.0,5.0,5.0,91.9,62.4,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-E003,Excavator,2023-07-09,3,2,1,9,88.0,4.41,2.16,31.7,86.4,0.88,23.8,182.0,334.8,1817.0,306,102,19.95,1.1888,97.6,0,2023,7,6,None,None,Low,69,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,200,94,PM Not Due,4253,0.2,Corrective Maintenance,159,Team C - Hydraulics,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,97.4,93.8,96.9,88.1,56.8,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-B003,Dozer,2022-07-24,0,1,1,7,88.8,4.76,2.94,43.4,82.4,0.82,24.7,171.6,309.7,1796.0,5714,18,18.66,1.637,95.3,0,2022,7,6,None,None,Low,158,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,36,PM Due Soon,4006,0.4,Preventive Maintenance,12,Team A - Mechanical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,52.4,79.4,42.9,91.5,41.2,No Parts Required,Plan PM in next 36 hours.
HEMM-G001,Grader,2022-12-06,4,2,0,9,200.0,4.73,2.36,42.5,85.0,0.77,24.1,176.9,326.6,1898.0,911,98,42.28,1.2434,41.4,1,2022,12,1,None,None,Low,62,0,60,105,Above Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,289,PM Not Due,3828,0.4,Condition Based Monitoring,63,Team D - General,Warning,Good,Good,Good,Good,Good,Good,Good,Monitor,No,No,No,No,92.4,82.1,90.9,89.3,52.8,No Parts Required,Increase monitoring frequency. Run diagnostics.
HEMM-G002,Grader,2021-06-11,4,2,0,10,83.6,4.34,2.47,33.5,85.3,0.87,24.6,183.6,307.1,1836.0,10499,84,19.26,1.3453,97.8,0,2021,6,4,None,None,Medium,171,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Preventive Maintenance,300,1,PM Due Now,14572,4.7,Preventive Maintenance,180,Team C - Hydraulics,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,12.5,5.0,5.0,91.1,50.6,No Parts Required,Perform scheduled PM now. PM interval: 300 hrs.
HEMM-D003,Dumper,2021-04-04,2,2,1,8,97.3,5.85,1.63,36.0,81.8,0.78,24.5,177.0,321.8,1601.0,4941,15,16.63,1.0181,93.8,0,2021,4,6,None,None,Low,172,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,250,59,PM Not Due,2839,0.1,Preventive Maintenance,167,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,58.8,85.2,50.6,90.7,67.4,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-G002,Grader,2022-07-24,4,0,0,12,78.7,4.8,1.92,35.9,84.0,0.97,25.1,174.7,330.3,1810.0,2864,52,16.4,1.0608,100.0,0,2022,7,6,None,None,Low,121,0,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Condition Based Monitoring,300,136,PM Not Due,7543,0.1,Condition Based Monitoring,34,Team B - Electrical,Good,Good,Good,Good,Good,Good,Good,Good,No,No,No,No,No,76.1,70.2,71.4,93.0,61.6,No Parts Required,Continue normal operation. Monitor sensors.
HEMM-B001,Dozer,2021-05-27,0,2,1,6,92.7,4.79,1.9,42.2,76.8,0.75,20.2,169.8,322.5,1675.0,8951,98,19.35,1.1343,94.1,0,2021,5,3,Electrical Fault,Electrical,Critical,6,1,60,105,Normal,3.0,6.0,Normal,0.5,4.5,Normal,20,55,Normal,70,95,Normal,0.6,1.0,Normal,22,27,Below Normal,150,220,Normal,250,420,Normal,1400,2200,Normal,Corrective Maintenance,250,49,Breakdown - Immediate Action,192964,22.7,Condition Based Monitoring,4,Team C - Hydraulics,Good,Good,Good,Good,Critical,Good,Good,Good,No,No,No,No,Yes,25.4,5.0,10.5,74.8,62.0,Battery/Alternator,IMMEDIATE ACTION: Stop machine. Replace Electrical. Contact maintenance team.
