Equipment_ID,Equipment_Type,Date,Shift,Operator_Experience_Yr,Road_Condition,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Operating_Hours,Load_Cycles_per_Day,Days_to_Next_Failure,Failure_Component,Failure_Type,Failure,Maintenance_Priority
HEMM-D004,Dumper,2021-02-21,Night,9,Good,89.0,4.44,2.26,45.6,81.1,0.76,24.4,182.8,340.2,1742.0,4212,33,50,None,None,0,Low
HEMM-SC01,Scraper,2021-06-28,Night,14,Good,80.8,5.08,2.62,25.8,84.4,0.76,24.6,172.3,322.8,1797.0,720,8,160,None,None,0,Low
HEMM-L002,Wheel Loader,2021-02-24,Night,7,Poor,88.3,4.83,1.88,37.9,82.4,0.85,24.8,187.8,298.0,1913.0,11931,88,64,None,None,0,Medium
HEMM-E003,Excavator,2023-07-09,Night,9,Good,88.0,4.41,2.16,31.7,86.4,0.88,23.8,182.0,334.8,1817.0,306,102,69,None,None,0,Low
HEMM-B003,Dozer,2022-07-24,Morning,7,Good,88.8,4.76,2.94,43.4,82.4,0.82,24.7,171.6,309.7,1796.0,5714,18,158,None,None,0,Low
HEMM-G001,Grader,2022-12-06,Night,9,Fair,82.8,4.73,2.36,42.5,85.0,0.77,24.1,176.9,326.6,1898.0,911,98,62,None,None,0,Low
HEMM-G002,Grader,2021-06-11,Night,10,Fair,83.6,4.34,2.47,33.5,85.3,0.87,24.6,183.6,307.1,1836.0,10499,84,171,None,None,0,Medium
HEMM-D003,Dumper,2021-04-04,Night,8,Good,97.3,5.85,1.63,36.0,81.8,0.78,24.5,177.0,321.8,1601.0,4941,15,172,None,None,0,Low
HEMM-G002,Grader,2022-07-24,Afternoon,12,Fair,78.7,4.8,1.92,35.9,84.0,0.97,25.1,174.7,330.3,1810.0,2864,52,121,None,None,0,Low
HEMM-B001,Dozer,2021-05-27,Night,6,Good,92.7,4.79,1.9,42.2,76.8,0.75,20.2,169.8,322.5,1675.0,8951,98,6,Electrical,Electrical Fault,1,Critical
HEMM-SC01,Scraper,2022-03-26,Night,11,Good,82.3,4.18,1.94,40.0,89.5,0.84,24.6,179.8,286.5,1693.0,1116,34,110,None,None,0,Low
HEMM-G002,Grader,2022-07-03,Morning,7,Poor,77.1,4.32,1.97,44.2,76.3,0.92,23.3,194.8,363.2,1923.0,9492,117,152,None,None,0,Medium
HEMM-L001,Wheel Loader,2023-03-22,Night,15,Good,90.8,4.25,2.14,37.9,86.9,0.95,24.3,180.3,296.1,1879.0,2540,38,176,None,None,0,Low
HEMM-SC01,Scraper,2022-06-23,Night,19,Poor,88.5,4.86,2.24,34.4,80.9,0.99,24.7,155.3,329.6,1893.0,7219,119,71,None,None,0,Low
HEMM-E003,Excavator,2021-10-11,Night,16,Good,91.5,4.01,2.09,44.5,75.6,0.77,24.6,165.6,343.8,1930.0,1689,101,160,None,None,0,Low
