Device_ID,Device_Type,Date,Device_Type_enc,Location_enc,Shift_enc,Operating_System_enc,Maintenance_Priority_enc,Device_Age_Years,CPU_Usage_pct,RAM_Usage_pct,Disk_Usage_pct,Temperature_C,Network_Latency_ms,Power_Consumption_W,Battery_Backup_pct,Error_Logs_Count,Fan_Speed_RPM,Voltage_V,Uptime_Hours,Last_Maintenance_Days,Health_Score,CPU_RAM_Avg,Temp_Fan_Ratio,Resource_Pressure,Overdue_Maintenance,Critical_Temp,High_Error,Age_Maint_Score,Year,Month,Day_of_Week,Failure_Type,Failure_Component,Maintenance_Priority,Days_to_Next_Failure,Failure
IT-UPS-002,UPS,2023-02-19,6,3,1,8,2,2.2,9.3,30.3,16.4,35.3,0.92,494.5,96.0,1,2083.0,218.7,2283,45,98.5,19.8,16.9467,17.73,0,0,0,0.99,2023,2,6,None,None,Low,94,0
IT-WRK-003,Workstation,2021-07-03,7,2,2,10,3,2.0,53.7,55.5,71.8,39.4,3.69,176.5,79.2,3,2029.0,219.1,3650,192,85.3,54.6,19.4184,59.67,1,0,0,3.84,2021,7,5,None,None,Medium,129,0
IT-RTR-002,Router,2021-11-08,2,1,0,8,2,1.8,31.3,35.4,21.8,37.8,3.12,93.9,96.9,1,2508.0,221.4,5651,43,98.5,33.35,15.0718,29.68,0,0,0,0.77,2021,11,0,None,None,Low,165,0
IT-SRV-003,Server,2023-08-19,3,0,0,5,3,0.8,100.0,34.4,51.3,29.2,6.72,435.0,92.4,1,3353.0,214.4,224,218,85.7,67.2,8.7086,65.71,1,0,0,1.74,2023,8,5,None,None,Medium,82,0
IT-WRK-004,Workstation,2021-06-15,7,2,0,6,0,7.3,16.2,66.1,52.8,54.4,11.26,120.8,82.2,12,2177.0,225.1,7680,27,82.0,41.15,24.9885,42.15,0,0,1,1.97,2021,6,1,Hardware Failure,Motherboard,Critical,2,1
IT-WRK-003,Workstation,2021-12-27,7,2,1,9,0,0.7,97.5,71.4,73.4,36.1,78.68,108.3,91.2,9,2031.0,217.5,7861,351,46.6,84.45,17.7745,82.44,1,0,0,2.46,2021,12,0,Network Outage,Network Interface,Critical,6,1
IT-UPS-002,UPS,2022-11-07,6,3,1,8,3,2.0,11.3,12.3,21.5,26.9,4.27,553.6,91.1,0,2146.0,210.9,1007,328,76.2,11.8,12.5349,14.66,1,0,0,6.56,2022,11,0,None,None,Medium,84,0
IT-WRK-004,Workstation,2023-04-08,7,2,1,10,2,7.6,34.4,82.9,65.5,10.0,5.0,133.0,82.7,4,2288.0,218.1,7901,29,92.8,58.65,4.3706,58.28,0,0,0,2.2,2023,4,5,None,None,Low,63,0
IT-PRT-001,Printer,2021-11-05,1,2,2,8,2,1.4,21.7,46.9,80.7,38.5,17.41,110.7,97.0,3,1646.0,218.2,2045,74,95.5,34.3,23.39,46.96,0,0,0,1.04,2021,11,4,None,None,Low,105,0
IT-RTR-001,Router,2023-04-20,2,1,1,1,3,7.1,37.2,33.2,20.3,38.4,3.24,87.9,96.1,2,2558.0,216.9,5328,256,80.4,35.2,15.0117,30.93,1,0,0,18.18,2023,4,3,None,None,Medium,89,0
