Device_ID,Device_Type,Location,Operating_System,Date,Shift,Device_Age_Years,CPU_Usage_pct,RAM_Usage_pct,Disk_Usage_pct,Temperature_C,Network_Latency_ms,Power_Consumption_W,Battery_Backup_pct,Error_Logs_Count,Fan_Speed_RPM,Voltage_V,Uptime_Hours,Last_Maintenance_Days,Health_Score,Days_to_Next_Failure,Failure_Component,Failure_Type,Failure,Maintenance_Priority
IT-UPS-002,UPS,Power Room,N/A,2023-02-19,Morning,2.2,9.3,30.3,16.4,35.3,0.92,494.5,96.0,1,2083.0,218.7,2283,45,98.5,94,None,None,0,Low
IT-WRK-003,Workstation,Office,Windows 11,2021-07-03,Night,2.0,53.7,55.5,71.8,39.4,3.69,176.5,79.2,3,2029.0,219.1,3650,192,85.3,129,None,None,0,Medium
IT-RTR-002,Router,Network Room,N/A,2021-11-08,Afternoon,1.8,31.3,35.4,21.8,37.8,3.12,93.9,96.9,1,2508.0,221.4,5651,43,98.5,165,None,None,0,Low
IT-SRV-003,Server,Data Center,Red Hat Linux,2023-08-19,Afternoon,0.8,51.5,34.4,51.3,29.2,6.72,435.0,92.4,1,3353.0,214.4,224,218,85.7,82,None,None,0,Medium
IT-WRK-004,Workstation,Office,Ubuntu 20.04,2021-06-15,Afternoon,7.3,16.2,66.1,52.8,54.4,11.26,120.8,82.2,12,2177.0,225.1,7680,27,82.0,2,Motherboard,Hardware Failure,1,Critical
IT-WRK-003,Workstation,Office,Windows 10,2021-12-27,Morning,0.7,97.5,71.4,73.4,36.1,78.68,108.3,91.2,9,2031.0,217.5,7861,351,46.6,6,Network Interface,Network Outage,1,Critical
IT-UPS-002,UPS,Power Room,N/A,2022-11-07,Morning,2.0,11.3,12.3,21.5,26.9,1.61,553.6,91.1,0,2146.0,210.9,1007,328,76.2,84,None,None,0,Medium
IT-WRK-004,Workstation,Office,Windows 11,2023-04-08,Morning,7.6,34.4,82.9,65.5,24.9,5.0,133.0,82.7,4,2288.0,218.1,7901,29,92.8,63,None,None,0,Low
IT-PRT-001,Printer,Office,N/A,2021-11-05,Night,1.4,21.7,46.9,80.7,38.5,17.41,110.7,97.0,3,1646.0,218.2,2045,74,95.5,105,None,None,0,Low
IT-RTR-001,Router,Network Room,Cisco IOS,2023-04-20,Morning,7.1,37.2,33.2,20.3,38.4,3.24,87.9,96.1,2,2558.0,216.9,5328,256,80.4,89,None,None,0,Medium
IT-SRV-004,Server,Data Center,Windows Server 2019,2023-01-11,Morning,4.3,55.2,68.3,53.0,46.0,7.33,299.2,100.0,2,3203.0,220.0,282,300,76.0,42,None,None,0,Medium
IT-UPS-002,UPS,Power Room,N/A,2023-03-29,Afternoon,3.4,5.7,20.2,15.5,36.8,1.85,408.7,96.2,1,1963.0,216.7,6178,274,80.1,53,None,None,0,Medium
IT-SRV-002,Server,Data Center,Red Hat Linux,2023-02-03,Night,6.3,21.2,54.2,73.2,39.7,5.18,337.5,100.0,3,3067.0,210.9,3871,160,88.5,87,None,None,0,Low
IT-SWT-002,Switch,Network Room,N/A,2021-08-05,Night,2.9,31.5,25.9,18.7,45.2,3.35,94.1,100.0,3,2712.0,214.6,4191,197,84.8,105,None,None,0,Medium
IT-SRV-003,Server,Data Center,Ubuntu 22.04,2023-06-16,Afternoon,1.0,74.4,53.8,60.3,41.2,1.32,268.7,99.5,1,2955.0,216.0,4901,351,70.2,112,None,None,0,Medium
IT-WRK-004,Workstation,Office,Windows 11,2021-09-18,Afternoon,7.1,36.9,37.8,100.0,42.9,6.79,149.7,93.9,7,2075.0,218.5,6806,338,55.0,70,None,None,0,High
IT-FRW-002,Firewall,Network Room,Fortinet FortiOS,2023-06-21,Morning,3.0,39.8,15.0,27.0,34.4,3.19,79.6,100.0,3,2436.0,222.9,3338,177,86.8,31,None,None,0,Low
IT-PRT-001,Printer,Office,N/A,2022-08-28,Morning,6.4,31.1,31.5,62.4,33.7,8.45,102.0,91.7,0,1772.0,214.8,4375,337,75.3,136,None,None,0,Medium
IT-PRT-001,Printer,Office,N/A,2022-04-19,Afternoon,5.4,19.0,25.1,91.7,36.8,15.08,102.2,97.5,2,1915.0,224.6,159,58,93.0,158,None,None,0,High
IT-SRV-001,Server,Data Center,Windows Server 2022,2023-12-06,Afternoon,4.3,47.2,34.9,55.4,40.1,3.99,312.5,100.0,3,2959.0,225.4,7376,106,93.9,97,None,None,0,Low
