Equipment_ID,Equipment_Type,Date,Equipment_Type_enc,Shift_enc,Road_Condition_enc,Operator_Experience_Yr,Engine_Temp_C,Oil_Pressure_bar,Vibration_mms,Fuel_Consumption_Lhr,Tyre_Pressure_PSI,Coolant_Level,Battery_Voltage_V,Hydraulic_Pressure_bar,Exhaust_Temp_C,RPM,Engine_Temp_C_Lower_Limit,Engine_Temp_C_Upper_Limit,Oil_Pressure_bar_Lower_Limit,Oil_Pressure_bar_Upper_Limit,Vibration_mms_Lower_Limit,Vibration_mms_Upper_Limit,Fuel_Consumption_Lhr_Lower_Limit,Fuel_Consumption_Lhr_Upper_Limit,Tyre_Pressure_PSI_Lower_Limit,Tyre_Pressure_PSI_Upper_Limit,Coolant_Level_Lower_Limit,Coolant_Level_Upper_Limit,Battery_Voltage_V_Lower_Limit,Battery_Voltage_V_Upper_Limit,Hydraulic_Pressure_bar_Lower_Limit,Hydraulic_Pressure_bar_Upper_Limit,Exhaust_Temp_C_Lower_Limit,Exhaust_Temp_C_Upper_Limit,RPM_Lower_Limit,RPM_Upper_Limit,Engine_Temp_C_Status_enc,Oil_Pressure_bar_Status_enc,Vibration_mms_Status_enc,Fuel_Consumption_Lhr_Status_enc,Tyre_Pressure_PSI_Status_enc,Coolant_Level_Status_enc,Battery_Voltage_V_Status_enc,Hydraulic_Pressure_bar_Status_enc,Exhaust_Temp_C_Status_enc,RPM_Status_enc,Operating_Hours,Load_Cycles_per_Day,Temp_Oil_Ratio,Vib_RPM_Ratio,Health_Score,High_Risk,Year,Month,Day_of_Week,Maintenance_Type_enc,PM_Interval_Hours,Next_PM_Due_Hours,PM_Status_enc,Maintenance_Cost_INR,Estimated_Downtime_Hrs,Last_Maintenance_Type_enc,Days_Since_Last_Maintenance,Maintenance_Team_enc,Engine_Condition_enc,Tyre_Condition_enc,Hydraulic_Condition_enc,Brake_Condition_enc,Electrical_Condition_enc,Fuel_System_Condition_enc,Transmission_Condition_enc,Cooling_System_Condition_enc,Engine_Replacement_Needed_enc,Tyre_Replacement_Needed_enc,Hydraulic_Replacement_Needed_enc,Brake_Replacement_Needed_enc,Electrical_Replacement_Needed_enc,Engine_Life_Remaining_pct,Tyre_Life_Remaining_pct,Hydraulic_Life_Remaining_pct,Battery_Life_Remaining_pct,Brake_Life_Remaining_pct,Failure_Type,Failure_Type_enc,Failure_Component,Failure_Component_enc,Maintenance_Priority,Maintenance_Priority_enc,Spare_Parts_Required,Prescriptive_Action,Days_to_Next_Failure,Failure
HEMM-D004,Dumper,2021-02-21,2,2,1,9,89.0,4.44,2.26,45.6,81.1,0.76,24.4,182.8,340.2,1742.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,4212,33,20.05,1.2974,96.6,0,2021,2,6,0,250,38,2,7238,0.4,2,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,72.2,57.9,90.4,54.8,None,6,None,6,Low,2,No Parts Required,Plan PM in next 38 hours.,50,0
HEMM-SC01,Scraper,2021-06-28,5,2,1,14,80.8,5.08,2.62,25.8,84.4,0.76,24.6,172.3,322.8,1797.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,720,8,15.91,1.458,98.1,0,2021,6,0,0,300,180,3,2912,0.9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,98.8,92.8,91.1,47.6,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,160,0
HEMM-L002,Wheel Loader,2021-02-24,6,2,2,7,88.3,4.83,1.88,37.9,82.4,0.85,24.8,187.8,298.0,1913.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,11931,88,18.28,0.9827,98.4,0,2021,2,2,3,250,69,3,10819,2.2,0,121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,91.9,62.4,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,64,0
HEMM-E003,Excavator,2023-07-09,3,2,1,9,88.0,4.41,2.16,31.7,86.4,0.88,23.8,182.0,334.8,1817.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,306,102,19.95,1.1888,97.6,0,2023,7,6,0,200,94,3,4253,0.2,1,159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,93.8,96.9,88.1,56.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,69,0
HEMM-B003,Dozer,2022-07-24,0,1,1,7,88.8,4.76,2.94,43.4,82.4,0.82,24.7,171.6,309.7,1796.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,5714,18,18.66,1.637,95.3,0,2022,7,6,0,250,36,2,4006,0.4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,79.4,42.9,91.5,41.2,None,6,None,6,Low,2,No Parts Required,Plan PM in next 36 hours.,158,0
HEMM-G001,Grader,2022-12-06,4,2,0,9,105.0,4.73,2.36,42.5,85.0,0.77,24.1,176.9,326.6,1898.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,1,0,0,0,0,0,0,0,0,0,911,98,42.28,1.2434,41.4,1,2022,12,1,0,300,289,3,3828,0.4,0,63,3,1,0,0,0,0,0,0,0,1,0,0,0,0,92.4,82.1,90.9,89.3,52.8,None,6,None,6,Low,2,No Parts Required,Increase monitoring frequency. Run diagnostics.,62,0
HEMM-G002,Grader,2021-06-11,4,2,0,10,83.6,4.34,2.47,33.5,85.3,0.87,24.6,183.6,307.1,1836.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,10499,84,19.26,1.3453,97.8,0,2021,6,4,3,300,1,1,14572,4.7,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,5.0,5.0,91.1,50.6,None,6,None,6,Medium,3,No Parts Required,Perform scheduled PM now. PM interval: 300 hrs.,171,0
HEMM-D003,Dumper,2021-04-04,2,2,1,8,97.3,5.85,1.63,36.0,81.8,0.78,24.5,177.0,321.8,1601.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,4941,15,16.63,1.0181,93.8,0,2021,4,6,0,250,59,3,2839,0.1,2,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,85.2,50.6,90.7,67.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,172,0
HEMM-G002,Grader,2022-07-24,4,0,0,12,78.7,4.8,1.92,35.9,84.0,0.97,25.1,174.7,330.3,1810.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,2864,52,16.4,1.0608,100.0,0,2022,7,6,0,300,136,3,7543,0.1,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,70.2,71.4,93.0,61.6,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,121,0
HEMM-B001,Dozer,2021-05-27,0,2,1,6,92.7,4.79,1.9,42.2,76.8,0.75,22.0,169.8,322.5,1675.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,-1,0,0,0,8951,98,19.35,1.1343,94.1,0,2021,5,3,1,250,49,0,192964,22.7,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,2,25.4,5.0,10.5,74.8,62.0,Electrical Fault,2,Electrical,2,Critical,0,Battery/Alternator,IMMEDIATE ACTION: Stop machine. Replace Electrical. Contact maintenance team.,6,1
HEMM-SC01,Scraper,2022-03-26,5,2,1,11,82.3,3.0,1.94,40.0,89.5,0.84,24.6,179.8,286.5,1693.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,-1,0,0,0,0,0,0,0,0,1116,34,164.6,1.1459,80.0,1,2022,3,5,0,300,84,3,2712,0.3,2,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90.7,92.4,88.8,91.1,61.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,110,0
HEMM-G002,Grader,2022-07-03,4,1,2,7,77.1,4.32,1.97,44.2,76.3,0.92,23.3,194.8,363.2,1923.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,9492,117,17.85,1.0244,96.8,0,2022,7,6,3,300,108,3,29349,3.7,2,162,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,5.0,5.1,86.3,60.6,None,6,None,6,Medium,3,No Parts Required,Continue normal operation. Monitor sensors.,152,0
HEMM-L001,Wheel Loader,2023-03-22,6,2,1,15,90.8,4.25,2.14,37.9,86.9,0.95,24.3,180.3,296.1,1879.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,2540,38,21.36,1.1389,95.4,0,2023,3,2,4,250,210,3,14912,5.8,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.8,80.7,74.6,90.0,57.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,176,0
HEMM-SC01,Scraper,2022-06-23,5,2,2,19,88.5,4.86,2.24,34.4,80.9,0.99,24.7,155.3,329.6,1893.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,7219,119,18.21,1.1833,97.1,0,2022,6,3,0,300,281,3,2260,0.0,1,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8,5.0,27.8,91.5,55.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,71,0
HEMM-E003,Excavator,2021-10-11,3,2,1,16,91.5,4.01,2.09,44.5,75.6,0.77,24.6,165.6,343.8,1930.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1689,101,22.82,1.0829,91.5,0,2021,10,0,0,200,111,3,2244,0.2,3,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.9,65.9,83.1,91.1,58.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,160,0
HEMM-D005,Dumper,2021-11-24,2,2,0,14,78.1,4.39,2.43,42.3,95.0,0.84,24.0,169.1,262.4,1720.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,1,0,0,0,0,0,9971,13,17.79,1.4128,98.2,0,2021,11,2,3,250,29,2,13070,5.1,0,117,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16.9,74.1,5.0,88.9,51.4,None,6,None,6,Medium,3,No Parts Required,Plan PM in next 29 hours.,97,0
HEMM-DR02,Drill Rig,2023-12-20,1,0,2,18,96.3,4.05,2.31,55.0,83.7,0.89,25.0,177.5,304.9,1711.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,1,0,0,0,0,0,0,388,92,23.78,1.3501,91.2,0,2023,12,2,1,150,62,0,107314,44.5,1,157,2,0,0,0,0,0,2,0,0,0,0,0,0,0,96.8,92.9,96.1,92.6,53.8,Fuel System Failure,4,Fuel System,4,Critical,0,No Parts Required,IMMEDIATE ACTION: Stop machine. Replace Fuel System. Contact maintenance team.,4,1
HEMM-D004,Dumper,2022-08-25,2,0,2,6,78.5,4.44,2.35,44.5,76.6,0.92,24.3,185.0,375.7,1797.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,7633,5,17.68,1.3077,96.5,0,2022,8,3,0,250,117,3,3905,0.1,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,92.4,23.7,90.0,53.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,78,0
HEMM-B001,Dozer,2023-10-23,0,1,2,17,70.7,4.4,2.13,40.5,81.5,0.89,24.7,183.4,321.0,1778.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1943,116,16.07,1.198,98.9,0,2023,10,0,0,250,57,3,6139,0.8,2,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,83.8,54.9,80.6,91.5,57.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,96,0
HEMM-L002,Wheel Loader,2022-02-12,6,1,2,12,81.2,4.59,1.5,38.9,83.5,0.89,24.6,171.9,341.1,1805.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,2846,74,17.69,0.831,100.0,0,2022,2,5,0,250,154,3,6931,0.7,3,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3,57.9,71.5,91.1,70.0,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,46,0
HEMM-B003,Dozer,2023-09-28,0,1,0,4,88.6,5.21,1.73,29.5,84.6,0.77,22.0,174.4,317.4,1644.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,-1,0,0,0,6147,117,17.01,1.0523,98.2,0,2023,9,3,0,250,103,3,2217,0.2,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,1,48.8,5.0,38.5,37.0,65.4,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,115,0
HEMM-E003,Excavator,2021-06-11,3,1,2,16,101.0,4.13,1.82,35.9,84.4,0.76,24.7,161.2,339.3,1749.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,1333,102,24.46,1.0406,90.2,0,2021,6,4,2,200,67,3,28031,8.9,1,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,88.9,72.8,86.7,91.5,63.6,None,6,None,6,High,1,No Parts Required,Schedule maintenance within 48 hours. Check all systems.,89,0
HEMM-D005,Dumper,2023-09-01,2,2,2,6,89.4,3.99,2.96,47.2,87.5,0.99,24.9,159.7,323.7,1734.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,4542,72,22.41,1.707,92.4,0,2023,9,4,4,250,208,3,19731,4.8,0,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,62.2,34.6,54.6,92.2,40.8,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,121,0
HEMM-E002,Excavator,2022-02-16,3,2,2,10,91.8,4.16,2.34,46.9,79.3,0.76,24.4,188.3,313.6,1780.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,0,0,0,0,0,0,0,0,6737,90,22.07,1.3146,92.8,0,2022,2,2,0,200,63,3,7323,1.0,1,153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,5.0,32.6,90.4,53.2,None,6,None,6,Low,2,No Parts Required,Continue normal operation. Monitor sensors.,118,0
HEMM-L002,Wheel Loader,2023-07-14,6,1,0,8,74.9,4.87,4.5,43.2,75.9,0.84,24.3,177.6,357.4,1991.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,0,0,0,0,0,0,3881,13,15.38,2.7825,86.9,1,2023,7,4,1,250,119,0,192853,16.0,0,158,0,0,0,0,2,0,0,0,0,0,0,0,2,0,67.7,89.9,61.2,90.0,5.0,Brake Failure,0,Brakes,0,Critical,0,Brake Pads/Disc,IMMEDIATE ACTION: Stop machine. Replace Brakes. Contact maintenance team.,3,1
HEMM-D001,Dumper,2021-05-26,2,2,1,2,77.5,4.33,4.5,38.0,85.0,0.88,25.0,195.4,326.9,1893.0,60,105,3.0,6.0,0.5,4.5,20,55,70,95,0.6,1.0,22,27,150,220,250,420,1400,2200,0,0,1,0,0,0,0,0,0,0,3950,13,17.9,10.5652,45.2,1,2021,5,2,0,250,50,2,5436,0.1,2,57,0,0,0,0,1,0,0,0,0,0,0,0,1,0,67.1,89.7,60.5,92.6,5.0,None,6,None,6,Low,2,No Parts Required,Plan PM in next 50 hours.,113,0
