Equipment_ID,Equipment_Type,Failure_Probability_%,Days_to_Failure,Alert_Level,Component,Problem_Detected,Recommended_Action,Issue_Severity
HEMM-D004,Dozer,0.0,83,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D004,Dozer,0.0,83,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D004,Dozer,0.0,83,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D004,Dozer,0.0,83,OK,Maintenance,168 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D004,Dozer,0.0,83,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D004,Dozer,0.0,83,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-SC01,Wheel Loader,2.1,100,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-SC01,Wheel Loader,2.1,100,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-SC01,Wheel Loader,2.1,100,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-SC01,Wheel Loader,2.1,100,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-SC01,Wheel Loader,2.1,100,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-L002,Scraper,0.0,93,OK,Engine,Life < 15%,REPLACE ENGINE IMMEDIATELY,CRITICAL
HEMM-L002,Scraper,0.0,93,OK,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
HEMM-L002,Scraper,0.0,93,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-L002,Scraper,0.0,93,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-L002,Scraper,0.0,93,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-L002,Scraper,0.0,93,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-L002,Scraper,0.0,93,OK,Maintenance,121 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-L002,Scraper,0.0,93,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-L002,Scraper,0.0,93,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-E003,Grader,0.7,88,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-E003,Grader,0.7,88,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-E003,Grader,0.7,88,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-E003,Grader,0.7,88,OK,Maintenance,159 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-E003,Grader,0.7,88,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-E003,Grader,0.7,88,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-B003,Excavator,0.8,121,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-B003,Excavator,0.8,121,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-B003,Excavator,0.8,121,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-B003,Excavator,0.8,121,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-B003,Excavator,0.8,121,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-G001,Drill Rig,27.7,53,MONITOR,Engine,Replacement flag set,REPLACE ENGINE — flagged by inspection,CRITICAL
HEMM-G001,Drill Rig,27.7,53,MONITOR,Engine,Temperature above normal,Inspect cooling system and coolant level,HIGH
HEMM-G001,Drill Rig,27.7,53,MONITOR,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-G001,Drill Rig,27.7,53,MONITOR,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-G001,Drill Rig,27.7,53,MONITOR,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-G001,Drill Rig,27.7,53,MONITOR,Maintenance,63 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-G001,Drill Rig,27.7,53,MONITOR,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-G001,Drill Rig,27.7,53,MONITOR,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-G002,Drill Rig,0.2,132,OK,Engine,Life < 15%,REPLACE ENGINE IMMEDIATELY,CRITICAL
HEMM-G002,Drill Rig,0.2,132,OK,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
HEMM-G002,Drill Rig,0.2,132,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-G002,Drill Rig,0.2,132,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-G002,Drill Rig,0.2,132,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-G002,Drill Rig,0.2,132,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-G002,Drill Rig,0.2,132,OK,Maintenance,180 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-G002,Drill Rig,0.2,132,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-G002,Drill Rig,0.2,132,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D003,Dozer,0.4,135,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D003,Dozer,0.4,135,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D003,Dozer,0.4,135,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D003,Dozer,0.4,135,OK,Maintenance,167 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D003,Dozer,0.4,135,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D003,Dozer,0.4,135,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-G002,Drill Rig,0.1,107,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-G002,Drill Rig,0.1,107,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-G002,Drill Rig,0.1,107,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-G002,Drill Rig,0.1,107,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-G002,Drill Rig,0.1,107,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-G002,Drill Rig,0.1,107,OK,Maintenance,34 days since last PM,Schedule preventive maintenance this week,MEDIUM
HEMM-B001,Excavator,99.4,4,CRITICAL,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
HEMM-B001,Excavator,99.4,4,CRITICAL,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-B001,Excavator,99.4,4,CRITICAL,Engine,Life < 30%,Schedule engine overhaul within 2 weeks,HIGH
HEMM-B001,Excavator,99.4,4,CRITICAL,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-B001,Excavator,99.4,4,CRITICAL,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-B001,Excavator,99.4,4,CRITICAL,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-B001,Excavator,99.4,4,CRITICAL,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-SC01,Wheel Loader,15.0,84,MONITOR,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-SC01,Wheel Loader,15.0,84,MONITOR,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-SC01,Wheel Loader,15.0,84,MONITOR,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-SC01,Wheel Loader,15.0,84,MONITOR,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-SC01,Wheel Loader,15.0,84,MONITOR,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-SC01,Wheel Loader,15.0,84,MONITOR,Maintenance,45 days since last PM,Schedule preventive maintenance this week,MEDIUM
HEMM-G002,Drill Rig,0.7,129,OK,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
HEMM-G002,Drill Rig,0.7,129,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-G002,Drill Rig,0.7,129,OK,Engine,Life < 30%,Schedule engine overhaul within 2 weeks,HIGH
HEMM-G002,Drill Rig,0.7,129,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-G002,Drill Rig,0.7,129,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-G002,Drill Rig,0.7,129,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-G002,Drill Rig,0.7,129,OK,Maintenance,162 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-G002,Drill Rig,0.7,129,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-G002,Drill Rig,0.7,129,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-L001,Scraper,0.0,124,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-L001,Scraper,0.0,124,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-L001,Scraper,0.0,124,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-L001,Scraper,0.0,124,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-L001,Scraper,0.0,124,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-SC01,Wheel Loader,0.7,81,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-SC01,Wheel Loader,0.7,81,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-SC01,Wheel Loader,0.7,81,OK,Hydraulics,Life < 30%,Schedule hydraulic service,HIGH
HEMM-SC01,Wheel Loader,0.7,81,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-SC01,Wheel Loader,0.7,81,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-SC01,Wheel Loader,0.7,81,OK,Maintenance,79 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-SC01,Wheel Loader,0.7,81,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-SC01,Wheel Loader,0.7,81,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-E003,Grader,1.6,102,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-E003,Grader,1.6,102,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-E003,Grader,1.6,102,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-E003,Grader,1.6,102,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-E003,Grader,1.6,102,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D005,Dozer,7.9,106,OK,Hydraulics,Life < 15%,REPLACE HYDRAULIC SYSTEM,CRITICAL
HEMM-D005,Dozer,7.9,106,OK,Engine,Life < 30%,Schedule engine overhaul within 2 weeks,HIGH
HEMM-D005,Dozer,7.9,106,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D005,Dozer,7.9,106,OK,Tyres,Replacement flag set,REPLACE TYRES,HIGH
HEMM-D005,Dozer,7.9,106,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D005,Dozer,7.9,106,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D005,Dozer,7.9,106,OK,Maintenance,117 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D005,Dozer,7.9,106,OK,Tyres,Pressure abnormal,Inflate or inspect tyres,MEDIUM
HEMM-D005,Dozer,7.9,106,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D005,Dozer,7.9,106,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-DR02,Dumper,92.0,4,CRITICAL,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-DR02,Dumper,92.0,4,CRITICAL,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-DR02,Dumper,92.0,4,CRITICAL,Maintenance,157 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-DR02,Dumper,92.0,4,CRITICAL,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-DR02,Dumper,92.0,4,CRITICAL,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D004,Dozer,0.6,95,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D004,Dozer,0.6,95,OK,Hydraulics,Life < 30%,Schedule hydraulic service,HIGH
HEMM-D004,Dozer,0.6,95,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D004,Dozer,0.6,95,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D004,Dozer,0.6,95,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D004,Dozer,0.6,95,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D004,Dozer,0.6,95,OK,Maintenance,44 days since last PM,Schedule preventive maintenance this week,MEDIUM
HEMM-B001,Excavator,0.0,101,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-B001,Excavator,0.0,101,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-B001,Excavator,0.0,101,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-B001,Excavator,0.0,101,OK,Maintenance,152 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-B001,Excavator,0.0,101,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-B001,Excavator,0.0,101,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-L002,Scraper,0.0,89,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-L002,Scraper,0.0,89,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-L002,Scraper,0.0,89,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-L002,Scraper,0.0,89,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-L002,Scraper,0.0,89,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-B003,Excavator,32.6,87,MEDIUM,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-B003,Excavator,32.6,87,MEDIUM,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-B003,Excavator,32.6,87,MEDIUM,Electrical,Replacement flag set,REPLACE ELECTRICAL COMPONENTS,HIGH
HEMM-B003,Excavator,32.6,87,MEDIUM,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-B003,Excavator,32.6,87,MEDIUM,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-B003,Excavator,32.6,87,MEDIUM,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-B003,Excavator,32.6,87,MEDIUM,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-E003,Grader,7.2,92,OK,Engine,Replacement flag set,REPLACE ENGINE — flagged by inspection,CRITICAL
HEMM-E003,Grader,7.2,92,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-E003,Grader,7.2,92,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-E003,Grader,7.2,92,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-E003,Grader,7.2,92,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-E003,Grader,7.2,92,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-D005,Dozer,4.8,92,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-D005,Dozer,4.8,92,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
HEMM-D005,Dozer,4.8,92,OK,Transmission,Poor condition,Inspect gearbox and clutch,HIGH
HEMM-D005,Dozer,4.8,92,OK,Maintenance,128 days since last PM,SCHEDULE PREVENTIVE MAINTENANCE IMMEDIATELY,HIGH
HEMM-D005,Dozer,4.8,92,OK,Electrical,Poor condition,Inspect and service electrical system,MEDIUM
HEMM-D005,Dozer,4.8,92,OK,Cooling System,Poor condition,Service radiator and coolant system,MEDIUM
HEMM-E002,Grader,0.6,101,OK,Tyres,Life < 15%,REPLACE ALL TYRES IMMEDIATELY,CRITICAL
HEMM-E002,Grader,0.6,101,OK,Brakes,Poor condition,Inspect and service brake system,HIGH
HEMM-E002,Grader,0.6,101,OK,Fuel System,Poor condition,Service fuel filters and injectors,HIGH
